Wall time,Step,Value
1558006537.586198,0,0.4399999976158142
1558006537.759634,20,0.5199999809265137
1558006537.881772,40,0.6399999856948853
1558006538.004202,60,0.6600000262260437
1558006538.119254,80,0.6600000262260437
1558006538.235371,100,0.8199999928474426
1558006538.346355,120,0.8399999737739563
1558006538.45263,140,0.8199999928474426
1558006538.562935,160,0.8600000143051147
1558006538.6708732,180,0.8999999761581421
1558006538.7836218,200,0.8199999928474426
1558006538.8939672,220,0.9399999976158142
1558006539.0042791,240,0.9599999785423279
1558006539.1136398,260,0.9599999785423279
1558006539.226379,280,0.9200000166893005
1558006539.335715,300,0.9599999785423279
1558006539.4460502,320,1.0
1558006539.5624871,340,0.9800000190734863
1558006539.865491,360,0.9800000190734863
1558006539.972224,380,1.0
1558006540.081388,400,1.0
1558006540.1888058,420,1.0
1558006540.297169,440,1.0
1558006540.40528,460,0.9800000190734863
1558006540.513469,480,1.0
1558006540.620225,500,1.0
1558006540.730601,520,1.0
1558006540.841352,540,1.0
1558006540.952289,560,1.0
1558006541.0712829,580,1.0
1558006541.1890528,600,1.0
1558006541.299674,620,1.0
1558006541.4098291,640,1.0
1558006541.519852,660,1.0
1558006541.6294148,680,1.0
1558006541.7391841,700,0.9800000190734863
1558006542.044209,720,1.0
1558006542.154301,740,0.9200000166893005
1558006542.268416,760,1.0
1558006542.378939,780,1.0
1558006542.489065,800,1.0
1558006542.6000419,820,1.0
1558006542.7103229,840,1.0
1558006542.818636,860,1.0
1558006542.927684,880,1.0
1558006543.038868,900,1.0
1558006543.151031,920,1.0
1558006543.261085,940,1.0
1558006543.39655,960,1.0
1558006543.506455,980,1.0
1558006543.620907,1000,1.0
1558006543.7310772,1020,1.0
1558006543.841824,1040,1.0
1558006543.9535942,1060,1.0
1558006544.265342,1080,1.0
1558006544.380437,1100,1.0
1558006544.5040011,1120,1.0
1558006544.6335099,1140,1.0
1558006544.756877,1160,0.9800000190734863
1558006544.883713,1180,1.0
1558006545.007909,1200,1.0
1558006545.132715,1220,1.0
1558006545.259954,1240,1.0
1558006545.389855,1260,1.0
1558006545.519104,1280,1.0
1558006545.649417,1300,1.0
1558006545.779834,1320,1.0
1558006545.907927,1340,1.0
