Wall time,Step,Value
1558071129.107353,0,0.6623309850692749
1558071129.225454,20,0.825047492980957
1558071129.337535,40,0.6860029101371765
1558071129.451466,60,0.7205369472503662
1558071129.562177,80,0.7131861448287964
1558071129.6704588,100,1.0191985368728638
1558071129.779156,120,0.7392903566360474
1558071130.037259,140,0.7246478796005249
1558071130.153365,160,0.5116275548934937
1558071130.263732,180,0.7038923501968384
1558071130.373974,200,0.49969282746315
1558071130.4834108,220,0.6814756393432617
1558071130.593065,240,0.6881622076034546
1558071130.705788,260,0.8025463819503784
1558071130.814989,280,0.5582659840583801
1558071130.924533,300,0.5864447355270386
1558071131.033831,320,0.5188563466072083
1558071131.14134,340,0.6852574348449707
1558071131.250605,360,0.7080684900283813
1558071131.36005,380,0.6184848546981812
1558071131.469089,400,0.6770540475845337
1558071131.580033,420,0.6821606755256653
1558071131.6883872,440,0.6884730458259583
1558071131.798347,460,0.5317891240119934
1558071131.906834,480,0.6768479943275452
1558071132.016885,500,0.6642100811004639
1558071132.288873,520,0.7371594309806824
1558071132.3986402,540,0.6850569248199463
1558071132.507099,560,0.6613496541976929
1558071132.616212,580,0.7821190357208252
1558071132.725548,600,0.6332705020904541
1558071132.834937,620,0.6907913088798523
1558071132.943713,640,0.6855050325393677
1558071133.0529191,660,0.6636723279953003
1558071133.1616452,680,0.8011345863342285
1558071133.2703009,700,0.6210333108901978
1558071133.38773,720,0.508208155632019
1558071133.4982321,740,0.6413394212722778
1558071133.6100311,760,0.6551790237426758
1558071133.720205,780,0.8581362962722778
1558071133.830678,800,0.5740833878517151
1558071133.94505,820,0.5852697491645813
1558071134.0587652,840,0.7195144891738892
1558071134.168777,860,0.6532901525497437
1558071134.413172,880,0.7811233401298523
1558071134.533037,900,0.6938972473144531
1558071134.641234,920,0.6622931361198425
1558071134.750537,940,0.7123576402664185
1558071134.8600519,960,0.7680138349533081
1558071134.9696472,980,0.6762037873268127
1558071135.080023,1000,0.7727909684181213
1558071135.1884701,1020,0.8297151327133179
1558071135.298749,1040,0.7910882234573364
1558071135.407999,1060,0.6233228445053101
1558071135.518753,1080,0.3813372254371643
1558071135.628872,1100,0.4210605025291443
1558071135.7399302,1120,0.7777417302131653
1558071135.854183,1140,0.6388858556747437
