Wall time,Step,Value
1558021901.446258,250,0.4599999785423279
1558021913.3724923,300,0.3199999928474426
1558021960.5295005,500,0.4399999976158142
1558021972.4026487,550,0.5799999833106995
1558022008.0453653,700,0.3400000035762787
1558022019.6318538,750,0.5399999618530273
1558022055.0428007,900,0.5600000023841858
1558022066.5961397,950,0.4399999976158142
1558022078.6448967,1000,0.5799999833106995
1558022125.2416768,1200,0.5199999809265137
1558022231.1528058,1650,0.6800000071525574
1558022266.6003828,1800,0.5999999642372131
1558022313.4131668,2000,0.6599999666213989
1558022336.4543104,2100,0.5600000023841858
1558022360.5331972,2200,0.5799999833106995
1558022372.3478417,2250,0.4599999785423279
1558022395.6458893,2350,0.5999999642372131
1558022419.4139237,2450,0.5600000023841858
1558022431.0457869,2500,0.5600000023841858
1558022466.0790234,2650,0.7199999690055847
1558022477.9376793,2700,0.6599999666213989
1558022489.587399,2750,0.6800000071525574
1558022501.8901684,2800,0.7400000095367432
1558022513.550617,2850,0.6399999856948853
1558022584.0922678,3150,0.6800000071525574
1558022607.5289748,3250,0.6599999666213989
1558022619.2798276,3300,0.699999988079071
1558022631.1136327,3350,0.6399999856948853
1558022643.2126665,3400,0.7799999713897705
1558022678.3492413,3550,0.699999988079071
1558022690.552536,3600,0.7199999690055847
1558022702.1483307,3650,0.7999999523162842
1558022714.366339,3700,0.5799999833106995
1558022773.6234844,3950,0.5799999833106995
1558022832.8596902,4200,0.7199999690055847
1558022868.5447524,4350,0.7999999523162842
1558022880.8653429,4400,0.7599999904632568
1558022951.767747,4700,0.7199999690055847
1558023044.9026546,5100,0.5999999642372131
1558023079.7329693,5250,0.8199999928474426
1558023091.3139,5300,0.699999988079071
1558023173.8524141,5650,0.699999988079071
1558023209.0422895,5800,0.8199999928474426
1558023232.558386,5900,0.6200000047683716
1558023308.46469,6200,0.85999995470047
1558023319.7961411,6250,0.7400000095367432
1558023331.3826568,6300,0.7799999713897705
1558023366.625989,6450,0.7799999713897705
1558023377.9712863,6500,0.7400000095367432
1558023460.9350872,6850,0.7599999904632568
1558023483.908906,6950,0.7599999904632568
1558023508.113049,7050,0.699999988079071
1558023519.7552845,7100,0.7999999523162842
1558023531.5175195,7150,0.7999999523162842
1558023613.3438213,7500,0.8199999928474426
1558023672.0000665,7750,0.8199999928474426
1558023695.4372957,7850,0.8399999737739563
1558023707.1200929,7900,0.7199999690055847
1558023718.8550277,7950,0.699999988079071
1558023754.1430228,8100,0.85999995470047
1558023789.5062313,8250,0.7799999713897705
1558023812.6034677,8350,0.7799999713897705
1558023824.824821,8400,0.7599999904632568
1558023859.6618469,8550,0.8399999737739563
1558023930.1887155,8850,0.7999999523162842
1558023941.9894922,8900,0.7599999904632568
1558023965.4963305,9000,0.7999999523162842
1558024000.3743784,9150,0.7199999690055847
1558024024.0071146,9250,0.7400000095367432
1558024035.8778064,9300,0.7400000095367432
1558024059.6309156,9400,0.7999999523162842
1558024082.7521582,9500,0.8399999737739563
1558024094.1989725,9550,0.8399999737739563
1558024176.4739003,9900,0.7400000095367432
1558024270.8495557,10300,0.7799999713897705
1558024282.5860193,10350,0.8199999928474426
1558024294.5871317,10400,0.8399999737739563
1558024341.5771592,10600,0.8199999928474426
1558024459.9829373,11100,0.8999999761581421
1558024471.913017,11150,0.8399999737739563
1558024495.7897031,11250,0.8799999952316284
1558024519.3986497,11350,0.8399999737739563
1558024543.3974004,11450,0.8799999952316284
1558024578.9703476,11600,0.7999999523162842
1558024590.8709896,11650,0.7799999713897705
1558024602.5423923,11700,0.8399999737739563
1558024637.741804,11850,0.7599999904632568
1558024755.4502225,12350,0.85999995470047
1558024779.5757027,12450,0.9599999785423279
1558024849.8143802,12750,0.7799999713897705
1558024890.5107818,12900,0.8199999928474426
1558024902.0582213,12950,0.7999999523162842
1558024913.970512,13000,0.8799999952316284
1558024925.620335,13050,0.85999995470047
1558024949.291179,13150,0.6800000071525574
1558024996.2103822,13350,0.8399999737739563
1558025020.2993205,13450,0.8999999761581421
1558025044.154441,13550,0.7799999713897705
1558025067.4019525,13650,0.7999999523162842
1558025126.7922971,13900,0.7400000095367432
1558025150.366216,14000,0.8199999928474426
1558025197.3384693,14200,0.85999995470047
1558025279.6793425,14550,0.7599999904632568
1558025291.887178,14600,0.8199999928474426
1558025350.4207335,14850,0.8399999737739563
1558025361.9666874,14900,0.8999999761581421
1558025373.5290194,14950,0.8799999952316284
1558025396.9625757,15050,0.85999995470047
1558025408.7783246,15100,0.85999995470047
1558025420.3334339,15150,0.7400000095367432
1558025466.9842072,15350,0.7799999713897705
1558025479.1247065,15400,0.7999999523162842
1558025502.476922,15500,0.8199999928474426
1558025537.7366889,15650,0.8799999952316284
1558025584.1428761,15850,0.8399999737739563
1558025595.8811085,15900,0.85999995470047
1558025607.6396902,15950,0.7599999904632568
1558025619.6851237,16000,0.7999999523162842
1558025642.8583124,16100,0.8399999737739563
1558025677.7068388,16250,0.8399999737739563
1558025689.5330265,16300,0.9199999570846558
1558025701.3395019,16350,0.8799999952316284
1558025736.6374266,16500,0.8999999761581421
1558025748.294987,16550,0.85999995470047
1558025771.721474,16650,0.8399999737739563
1558025841.8481894,16950,0.7599999904632568
1558025865.5885882,17050,0.85999995470047
1558025901.465368,17200,0.8399999737739563
1558025913.0026257,17250,0.8799999952316284
1558025935.9094133,17350,0.8999999761581421
1558025947.922691,17400,0.85999995470047
1558026006.6718318,17650,0.8199999928474426
1558026018.2791016,17700,0.85999995470047
1558026065.3123915,17900,0.8399999737739563
1558026089.2683702,18000,0.85999995470047
1558026124.3905058,18150,0.8799999952316284
1558026171.68658,18350,0.9199999570846558
1558026218.6300695,18550,0.9199999570846558
1558026242.0539637,18650,0.8399999737739563
1558026289.0543807,18850,0.8199999928474426
1558026300.7983854,18900,0.9399999976158142
1558026312.3409352,18950,0.8999999761581421
1558026335.891103,19050,0.85999995470047
1558026347.2052598,19100,0.85999995470047
1558026394.4402797,19300,0.85999995470047
1558026406.0352147,19350,0.85999995470047
1558026453.41806,19550,0.8199999928474426
1558026465.2414436,19600,0.8999999761581421
1558026477.0202136,19650,0.85999995470047
1558026593.6808956,20150,0.85999995470047
1558026652.8492005,20400,0.8799999952316284
1558026735.3157444,20750,0.8799999952316284
1558026747.2778025,20800,0.9799999594688416
1558026805.4967155,21050,0.8799999952316284
1558026817.1915472,21100,0.8199999928474426
1558026841.2612493,21200,0.8399999737739563
1558026864.4562066,21300,0.85999995470047
1558026911.2863836,21500,0.8199999928474426
1558027017.3132198,21950,0.8999999761581421
1558027029.348465,22000,0.8999999761581421
1558027041.0364017,22050,0.9399999976158142
1558027052.7314231,22100,0.9399999976158142
1558027088.0804753,22250,0.8799999952316284
1558027158.7086115,22550,0.7599999904632568
1558027240.4761927,22900,0.9399999976158142
1558027252.188254,22950,0.9199999570846558
1558027264.0989187,23000,0.8799999952316284
1558027275.814491,23050,0.8999999761581421
1558027298.9872851,23150,0.8399999737739563
1558027311.0442185,23200,0.7799999713897705
1558027345.5181184,23350,0.8799999952316284
1558027357.9700773,23400,0.8799999952316284
1558027416.5647964,23650,0.9399999976158142
1558027428.2123477,23700,0.85999995470047
1558027475.1186712,23900,0.85999995470047
1558027557.68844,24250,0.9599999785423279
1558027593.0854864,24400,0.8199999928474426
1558027604.5500782,24450,0.8999999761581421
1558027627.542601,24550,0.9399999976158142
1558027651.2084184,24650,0.9799999594688416
1558027687.1548793,24800,0.85999995470047
1558027816.8368258,25350,0.8799999952316284
1558027853.264821,25500,0.8399999737739563
1558027864.8371804,25550,0.8399999737739563
1558027876.7161307,25600,0.85999995470047
1558027900.2686718,25700,0.85999995470047
1558027924.01984,25800,0.8799999952316284
1558027935.5761924,25850,0.85999995470047
1558027958.6663713,25950,0.9199999570846558
1558028017.2112837,26200,0.8399999737739563
1558028028.876533,26250,1.0
1558028099.4974036,26550,0.8999999761581421
1558028123.1169825,26650,0.8999999761581421
1558028134.4909182,26700,0.9399999976158142
1558028146.054191,26750,0.8399999737739563
1558028158.2927346,26800,0.85999995470047
1558028170.0270643,26850,0.8799999952316284
1558028181.7645793,26900,0.9199999570846558
1558028205.6706448,27000,0.8399999737739563
1558028217.2990584,27050,0.85999995470047
1558028228.9341922,27100,0.9199999570846558
1558028288.4083042,27350,0.9399999976158142
1558028300.5133924,27400,0.7599999904632568
1558028311.77658,27450,0.85999995470047
1558028335.3941064,27550,0.8999999761581421
1558028382.7667925,27750,0.9399999976158142
1558028406.6728084,27850,0.85999995470047
1558028429.9104831,27950,0.8799999952316284
1558028477.2577536,28150,0.8999999761581421
1558028489.2686436,28200,0.9199999570846558
1558028500.9728987,28250,0.85999995470047
1558028547.327116,28450,0.9199999570846558
1558028594.0275774,28650,0.9199999570846558
1558028605.6165252,28700,0.8199999928474426
1558028640.9352598,28850,0.85999995470047
1558028664.558593,28950,0.8799999952316284
1558028676.4559376,29000,0.9399999976158142
1558028687.9485722,29050,0.85999995470047
1558028699.7995706,29100,0.8999999761581421
1558028711.1826925,29150,0.8999999761581421
1558028723.176079,29200,0.8999999761581421
1558028746.5187862,29300,0.85999995470047
1558028763.5923033,29350,0.8799999952316284
1558028823.0676785,29600,0.8999999761581421
1558028834.8134887,29650,0.8799999952316284
1558028869.4674125,29800,0.8399999737739563
1558028881.3009377,29850,0.7199999690055847
1558028917.3259711,30000,0.9799999594688416
1558028940.585876,30100,0.8799999952316284
1558028988.1224275,30300,0.8199999928474426
1558029011.7305472,30400,0.9199999570846558
1558029035.092987,30500,0.8799999952316284
1558029058.8448482,30600,0.8399999737739563
1558029093.7728086,30750,0.8799999952316284
1558029141.3584363,30950,0.9199999570846558
1558029153.8165183,31000,0.9399999976158142
1558029177.3976476,31100,0.8399999737739563
1558029212.5312195,31250,0.8199999928474426
1558029259.4902036,31450,0.7999999523162842
1558029319.0523274,31700,0.8799999952316284
1558029401.90169,32050,0.9199999570846558
1558029413.5915835,32100,0.85999995470047
1558029437.470688,32200,0.8799999952316284
1558029449.2600818,32250,0.8799999952316284
1558029460.8865345,32300,0.9199999570846558
1558029472.6549487,32350,0.85999995470047
1558029484.6698883,32400,0.8799999952316284
1558029496.3819423,32450,0.9599999785423279
1558029532.1887813,32600,0.8399999737739563
1558029579.568526,32800,0.9199999570846558
1558029590.942234,32850,0.9199999570846558
1558029637.7075894,33050,0.85999995470047
1558029673.8407052,33200,0.8999999761581421
1558029696.9035795,33300,0.85999995470047
1558029721.0083635,33400,0.9199999570846558
1558029756.0820055,33550,0.9599999785423279
1558029768.0339448,33600,0.85999995470047
1558029779.660212,33650,0.8799999952316284
1558029791.1812384,33700,0.9199999570846558
1558029802.9904428,33750,0.85999995470047
1558029826.4570959,33850,0.9399999976158142
1558029837.9251707,33900,0.8999999761581421
1558029849.6717222,33950,0.8999999761581421
1558029873.0822518,34050,0.8799999952316284
1558029884.7135575,34100,0.9199999570846558
1558029896.6134036,34150,0.8799999952316284
1558029909.2395904,34200,0.9599999785423279
1558029932.2252884,34300,0.8799999952316284
1558029955.9182303,34400,0.9399999976158142
1558029967.3101342,34450,0.9399999976158142
1558030049.3412292,34800,0.9199999570846558
1558030084.7308629,34950,0.8999999761581421
1558030096.7874882,35000,0.8999999761581421
1558030108.4251301,35050,0.8999999761581421
1558030131.7235816,35150,0.9399999976158142
1558030166.874206,35300,0.8799999952316284
1558030191.0241933,35400,0.85999995470047
1558030214.314144,35500,0.8999999761581421
1558030261.3205674,35700,0.85999995470047
1558030308.413758,35900,0.9199999570846558
1558030344.2885437,36050,0.9399999976158142
1558030356.2468238,36100,0.7999999523162842
1558030367.664961,36150,0.9199999570846558
1558030380.2785802,36200,0.85999995470047
1558030392.1678076,36250,0.9399999976158142
1558030451.0821586,36500,0.9199999570846558
1558030521.267445,36800,0.8999999761581421
1558030544.187793,36900,0.8199999928474426
1558030555.7544246,36950,0.8399999737739563
1558030567.7423713,37000,0.9799999594688416
1558030579.5055418,37050,0.9199999570846558
1558030602.9201217,37150,0.8199999928474426
1558030638.0690868,37300,0.8999999761581421
1558030649.6338503,37350,0.9199999570846558
1558030685.3293142,37500,0.8399999737739563
1558030696.8818474,37550,0.8799999952316284
1558030709.0293748,37600,0.8799999952316284
1558030732.4107172,37700,0.8799999952316284
1558030756.2574062,37800,0.85999995470047
1558030827.2857945,38100,0.8799999952316284
1558030862.8433397,38250,0.9599999785423279
1558030874.815325,38300,0.8999999761581421
1558030910.2974415,38450,0.9399999976158142
1558030922.3915038,38500,0.8199999928474426
